date, time, condition
09-23-2013, M, W
09-23-2013, E, D
09-24-2013, M, D
09-24-2013, E, D
09-25-2013, M, D
09-25-2013, E, D
09-26-2013, M, D
09-26-2013, E, D
09-27-2013, M, W
09-27-2013, E, D
09-30-2013, M, W
09-30-2013, E, D
10-01-2013, M, W
10-01-2013, E, D
10-02-2013, M, W
10-02-2013, E, D
10-03-2013, M, D
10-03-2013, E, D
10-04-2013, M, D
10-04-2013, E, D
10-07-2013, M, D
10-07-2013, E, D
10-08-2013, M, W
10-08-2013, E, D
10-09-2013, M, D
10-09-2013, E, D
10-10-2013, M, D
10-10-2013, E, W
10-11-2013, M, W
10-11-2013, E, D
10-14-2013, M, D
10-14-2013, E, D
10-15-2013, M, D
10-15-2013, E, D
10-16-2013, M, D
10-16-2013, E, D
10-17-2013, M, D
10-17-2013, E, D
10-18-2013, M, D
10-18-2013, E, D
10-21-2013, M, D
10-21-2013, E, D
10-22-2013, M, D
10-22-2013, E, D
10-23-2013, M, D
10-23-2013, E, D
10-24-2013, M, D
10-24-2013, E, D
10-25-2013, M, W
10-25-2013, E, D
10-28-2013, M, D
10-28-2013, E, D
10-29-2013, M, D
10-29-2013, E, D
10-30-2013, M, D
10-30-2013, E, W
10-31-2013, M, D
10-31-2013, E, D
11-01-2013, M, D
11-01-2013, E, D
11-04-2013, M, D
11-04-2013, E, D
11-05-2013, M, W
11-05-2013, E, D
11-06-2013, M, D
11-06-2013, E, W
11-07-2013, M, W
11-07-2013, E, D
11-08-2013, M, D
11-08-2013, E, D
11-11-2013, M, D
11-11-2013, E, D
11-12-2013, M, W
11-12-2013, E, D
11-13-2013, M, D
11-13-2013, E, W
11-14-2013, M, W
11-14-2013, E, D
11-15-2013, M, D
11-15-2013, E, D
11-18-2013, M, W
11-18-2013, E, W
11-19-2013, M, W
11-19-2013, E, D
11-20-2013, M, D
11-20-2013, E, D
11-21-2013, M, D
11-21-2013, E, D
11-22-2013, M, D
11-22-2013, E, D
11-25-2013, M, D
11-25-2013, E, D
11-26-2013, M, D
11-26-2013, E, W
11-27-2013, M, D
11-27-2013, E, D
12-02-2013, M, D
12-02-2013, E, D
12-03-2013, M, D
12-03-2013, E, D
12-04-2013, M, D
12-04-2013, E, D
12-06-2013, M, D
12-06-2013, E, D
12-09-2013, M, D
12-09-2013, E, D
12-10-2013, M, D
12-10-2013, E, D
12-11-2013, M, D
12-11-2013, E, D
12-12-2013, M, D
12-12-2013, E, W
12-16-2013, M, D
12-16-2013, E, D
12-17-2013, M, D
12-17-2013, E, D
12-18-2013, M, W
12-18-2013, E, D
12-19-2013, M, D
12-19-2013, E, D
12-20-2013, M, W
12-20-2013, E, W
12-31-2013, M, W
12-31-2013, E, D
01-02-2014, M, W
01-02-2014, E, W
01-03-2014, M, D
01-03-2014, E, W
01-06-2014, M, D
01-06-2014, E, D
01-07-2014, M, W
01-07-2014, E, W
01-08-2014, M, W
01-08-2014, E, W
01-09-2014, M, D
01-09-2014, E, D
01-10-2014, M, W
01-10-2014, E, W
01-13-2014, M, D
01-13-2014, E, D
01-14-2014, M, D
01-14-2014, E, D
01-15-2014, M, D
01-15-2014, E, D
01-16-2014, M, D
01-16-2014, E, D
01-17-2014, M, D
01-17-2014, E, D
01-21-2014, M, D
01-21-2014, E, D
01-22-2014, M, D
01-22-2014, E, D
01-23-2014, M, D
01-23-2014, E, D
01-24-2014, M, D
01-24-2014, E, D
01-27-2014, M, D
01-27-2014, E, D
01-28-2014, M, D
01-28-2014, E, D
01-29-2014, M, W
01-29-2014, E, D
01-30-2014, M, D
01-30-2014, E, W
01-31-2014, M, W
01-31-2014, E, D
02-03-2014, M, D
02-03-2014, E, D
02-04-2014, M, D
02-04-2014, E, D
02-05-2014, M, D
02-05-2014, E, D
02-06-2014, M, D
02-06-2014, E, D
02-07-2014, M, D
02-07-2014, E, D
02-10-2014, M, W
02-10-2014, E, D
02-11-2014, M, D
02-11-2014, E, W
02-12-2014, M, D
02-12-2014, E, D
02-13-2014, M, D
02-13-2014, E, D
02-14-2014, M, W
02-14-2014, E, D
02-18-2014, M, W
02-18-2014, E, D
02-19-2014, M, D
02-19-2014, E, D
02-20-2014, M, D
02-20-2014, E, W
02-21-2014, M, D
02-21-2014, E, W
02-24-2014, M, W
02-24-2014, E, W
02-25-2014, M, D
02-25-2014, E, D
02-26-2014, M, D
02-26-2014, E, D
02-27-2014, M, D
02-27-2014, E, D
02-28-2014, M, D
02-28-2014, E, D
03-03-2014, M, W
03-03-2014, E, D
03-04-2014, M, W
03-04-2014, E, W
03-05-2014, M, W
03-05-2014, E, W
03-06-2014, M, W
03-06-2014, E, D
03-07-2014, M, D
03-07-2014, E, D
03-10-2014, M, D
03-10-2014, E, D
03-11-2014, M, D
03-11-2014, E, D
03-12-2014, M, D
03-12-2014, E, D
03-13-2014, M, D
03-13-2014, E, D
03-14-2014, M, W
03-14-2014, E, D
03-17-2014, M, D
03-17-2014, E, D
03-18-2014, M, W
03-18-2014, E, D
03-19-2014, M, D
03-19-2014, E, W
03-20-2014, M, D
03-20-2014, E, D
03-21-2014, M, D
03-21-2014, E, D
03-24-2014, M, D
03-24-2014, E, D
03-25-2014, M, W
03-25-2014, E, W
03-26-2014, M, D
03-26-2014, E, W
03-27-2014, M, W
03-27-2014, E, D
03-28-2014, M, W
03-28-2014, E, D
03-31-2014, M, D
03-31-2014, E, 
